"Rank","Player","TACKLE","ASSIST","SACK","TFL","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"356","Bradyn Swinson (NE)","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.8%"
"356","Jared Ivey (SEA)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","6.0%"
"356","Kyle Kennard (LAC)","1","1","0","0","0","0","0","0","0","5","0.0","0.0","4.4%"
"356","Cam Horsley (TEN)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"356","Fadil Diggs (NO)","0","0","0","0","0","0","0","0","0","5","0.0","0.0","1.6%"
"356","Que Robinson (DEN)","4","5","0.5","3","1","0","0","0","0","6","0.0","0.0","1.5%"
"356","Kain Medrano (WAS)","0","0","0","0","0","0","0","1","0","5","0.0","0.0","0.7%"
"356","Alex Huntley (MIA)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"356","Ethan Downs (KC)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"356","Ja'Markis Weston (NYJ)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.6%"
"356","Keith Cooper Jr. (CLE)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"356","Jayson Jones (TB)","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"356","Coziah Izzard (NO)","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.9%"
""
""
