PLAYER,POS,TEAM,GAMES,SNAPS,SNAPS/GM,SNAP %,RUSH %,TGT %,TOUCH %,UTIL %,FANTASY PTS,PTS/100 SNAPS
Elijah Higgins,TE,ARI,17,475,28,42,0,8,6,8,28.1,5.9
Luke Musgrave,TE,GB,17,428,25,41,0,7,6,7,25.2,5.9
Tommy Tremble,TE,CAR,17,636,37,60,0,6,4,6,36.9,5.8
Brock Wright,TE,DET,11,401,36,57,0,5,3,5,22.8,5.7
Jared Wayne,WR,HOU,1,35,35,44,0,6,6,6,2.0,5.7
David Sills V,WR,ATL,17,565,33,52,0,6,3,6,31.1,5.5
Josh Whyle,TE,GB,8,176,22,38,0,3,3,3,9.6,5.5
Jahan Dotson,WR,PHI,17,599,35,57,0,6,3,6,32.2,5.4
Nate Adkins,TE,DEN,9,199,22,33,0,6,3,6,10.8,5.4
Adam Thielen,WR,PIT,16,387,24,39,0,9,5,9,20.6,5.3
Marquez Valdes-Scantling,WR,PIT,10,339,34,48,0,9,4,9,18.0,5.3
Brandin Cooks,WR,BUF,15,537,36,55,0,7,4,7,27.9,5.2
Casey Washington,WR,ATL,7,181,26,40,0,8,3,8,9.4,5.2
Allen Lazard,WR,NYJ,10,250,25,39,0,7,4,7,13.0,5.2
Will Dissly,TE,LAC,9,189,21,31,0,8,6,8,9.7,5.1
Ben Sinnott,TE,WAS,16,341,21,35,0,4,3,4,17.4,5.1
Clayton Tune,QB,GB,2,59,30,60,8,0,34,34,3.0,5.1
Jamari Thrash,WR,CLE,9,216,24,35,0,7,5,7,10.7,5.0
Cooper Rush,QB,BAL,4,116,29,50,3,0,48,48,5.8,5.0
Jeremy Ruckert,TE,NYJ,17,494,29,47,0,6,5,6,23.9,4.8
Isaiah Hodgins,WR,NYG,7,363,52,77,0,5,3,5,17.5,4.8
Luke Farrell,TE,SF,17,404,24,36,0,3,3,3,18.5,4.6
Max Brosmer,QB,MIN,7,178,25,44,4,0,44,44,8.2,4.6
Josh Reynolds,WR,NYJ,5,273,55,83,0,8,4,8,12.1,4.4
Justin Watson,WR,HOU,3,68,23,38,0,6,4,6,3.0,4.4
Mo Alie-Cox,TE,IND,17,419,25,39,0,5,3,5,17.7,4.2
Jordan Whittington,WR,LAR,16,443,28,42,1,6,5,6,18.3,4.1
Konata Mumpfield,WR,LAR,17,375,22,33,0,6,3,6,15.2,4.1
John FitzPatrick,TE,GB,15,335,22,35,0,4,4,4,13.2,3.9
Adam Trautman,TE,DEN,17,651,38,57,0,4,3,4,25.5,3.9
Brandon Allen,QB,TEN,1,49,49,91,0,0,61,61,1.9,3.9
Julian Hill,TE,MIA,14,441,32,55,0,5,3,5,16.0,3.6
