PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
Trent Sherfield Sr.,ARI,1,1,0,0,2,0,0,0,0,0,—,—,—,1,0,—,—,5,0.4
Devin Duvernay,CHI,0,0,0,0,BYE,0,0,3,0,0,0,0,0,1,0,0,1,5,0.3
Theo Wease Jr.,MIA,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,4,1,5,2.5
Gunner Olszewski,NYG,0,0,0,0,0,0,0,0,1,2,0,0,0,BYE,—,0,1,4,0.3
Ryan Miller,TB,1,1,1,0,0,0,1,0,BYE,0,0,0,0,0,—,—,—,4,0.3
Cody White,SEA,0,—,—,—,—,—,—,BYE,2,0,0,0,1,1,0,0,—,4,0.4
Justin Watson,HOU,2,2,—,—,—,BYE,—,—,—,—,—,—,—,—,—,—,—,4,2.0
Mason Kinsey,TEN,—,—,—,—,—,—,0,0,0,BYE,3,0,—,0,0,0,1,4,0.4
Shedrick Jackson,LV,—,—,—,—,—,—,0,BYE,—,—,—,—,—,1,0,—,3,4,1.0
Michael Bandy,DEN,—,—,—,—,—,—,—,—,1,0,—,BYE,—,—,1,—,2,4,1.0
Andre Baccellia,ARI,—,—,—,—,—,—,—,BYE,—,—,1,0,0,3,0,—,—,4,0.8
Jonathan Mingo,DAL,—,—,—,—,—,—,—,—,—,BYE,—,0,—,1,1,1,1,4,0.8
Tom Kennedy,DET,—,—,—,—,—,—,—,BYE,—,—,—,—,4,0,0,0,0,4,0.8
Alex Bachman,LV,1,0,0,—,1,0,0,BYE,0,0,—,0,0,—,—,1,0,3,0.3
Tai Felton,MIN,0,—,1,0,0,BYE,0,0,0,—,0,0,0,1,0,1,—,3,0.2
Dareke Young,SEA,—,0,1,0,1,0,0,BYE,—,—,—,—,—,—,—,0,1,3,0.4
Deven Thompkins,ATL,—,—,—,—,BYE,0,—,—,—,—,—,—,2,1,0,0,0,3,0.5
Jordan Watkins,SF,—,—,—,—,—,—,—,2,1,0,—,—,—,BYE,0,0,—,3,0.6
Derius Davis,LAC,0,0,0,—,—,—,0,0,0,1,1,BYE,0,0,—,—,—,2,0.2
Anthony Gould,IND,0,0,0,0,0,0,1,0,—,—,BYE,0,0,1,—,—,—,2,0.2
Xavier Gipson,PHI,0,—,—,—,—,—,0,1,BYE,0,0,1,—,—,—,—,—,2,0.3
Jake Bobo,SEA,—,0,0,1,0,0,1,BYE,—,—,—,0,—,0,0,—,0,2,0.2
Tay Martin,WAS,—,—,—,1,1,0,—,—,—,—,—,BYE,—,—,—,—,—,2,0.7
Tahj Washington,MIA,—,—,—,—,0,—,—,—,2,0,0,BYE,—,—,—,—,0,2,0.4
Efton Chism III,NE,—,—,—,—,—,0,0,—,0,0,0,—,0,BYE,—,—,2,2,0.3
Jared Wayne,HOU,—,—,—,—,—,BYE,—,2,—,—,—,—,—,—,—,—,—,2,2.0
Jason Brownlee,KC,1,0,0,—,0,0,—,—,—,BYE,—,—,—,—,—,—,—,1,0.2
Nikko Remigio,KC,0,1,0,0,0,0,0,0,0,BYE,0,0,0,—,0,0,—,1,0.1
Charlie Jones,CIN,0,0,0,0,0,0,0,0,0,BYE,0,1,0,0,0,—,—,1,0.1
David Moore,CAR,0,0,1,0,—,—,—,—,—,—,—,—,—,BYE,—,—,—,1,0.3
Bryce Oliver,TEN,1,0,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,—,1,0.5
Tim Jones,JAC,0,0,—,—,—,—,—,BYE,1,0,—,—,—,—,—,—,—,1,0.3
Malik Turner,SF,—,—,0,—,1,—,0,—,—,—,—,—,—,BYE,—,—,—,1,0.3
Ke'Shawn Williams,CIN,—,—,—,—,—,0,0,0,0,0,0,0,0,—,—,0,1,1,0.1
Mecole Hardman Jr.,BUF,—,—,—,—,—,—,BYE,—,—,—,1,—,—,—,—,0,—,1,0.5
Coleman Owen,IND,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,1,—,1,0.5
Steven Sims Jr.,ARI,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,—,1,0,1,0.5
DeAndre Carter,CLE,0,0,0,0,—,—,—,—,BYE,—,—,0,—,—,—,—,—,0,0.0
Velus Jones Jr.,SEA,0,—,0,0,0,—,—,BYE,—,—,—,—,—,0,0,—,—,0,0.0
Justin Shorter,LV,0,—,0,0,—,0,0,BYE,—,—,—,—,—,—,—,—,—,0,0.0
Jamal Agnew,ATL,0,—,—,0,BYE,0,0,0,0,0,0,0,0,0,—,—,—,0,0.0
Russell Gage Jr.,SF,0,—,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
LaJohntay Wester,BAL,0,0,0,0,0,0,BYE,—,0,0,0,0,0,0,0,0,0,0,0.0
Myles Price,MIN,0,0,0,0,0,BYE,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Jeremiah Webb,NE,0,—,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
Dominic Lovett,DET,—,0,0,0,0,0,—,BYE,—,0,0,—,—,0,—,—,—,0,0.0
Dalevon Campbell,CAR,—,—,0,0,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
Kaden Davis,CLE,—,—,0,—,—,—,—,—,BYE,—,0,—,—,—,—,—,—,0,0.0
Simi Fehoko,ARI,—,—,0,0,0,0,0,BYE,0,0,—,—,—,—,—,—,—,0,0.0
Jalen Moreno-Cropper,DAL,—,—,0,0,0,0,—,—,—,BYE,—,—,—,—,—,—,—,0,0.0
Jalen Royals,KC,—,—,—,0,0,0,0,—,—,BYE,—,—,—,—,—,0,0,0,0.0
Jackson Meeks,DET,—,—,—,0,—,—,—,BYE,—,—,0,—,—,—,—,—,—,0,0.0
Jacob Cowing,SF,—,—,—,—,0,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0.0
Parris Campbell,DAL,—,—,—,—,—,0,—,—,—,BYE,—,—,—,—,—,—,—,0,0.0
Ja'Corey Brooks,WAS,—,—,—,—,—,0,—,—,—,—,—,BYE,—,—,—,—,—,0,0.0
Laquon Treadwell,IND,—,—,—,—,—,—,0,—,—,0,BYE,0,0,0,0,0,0,0,0.0
Quinton Bell,MIA,—,—,—,—,—,—,0,—,—,0,—,BYE,—,—,—,0,0,0,0.0
Cade McDonald,CLE,—,—,—,—,—,—,0,—,BYE,—,—,—,—,—,—,—,—,0,0.0
Brandon Smith,NYJ,—,—,—,—,—,—,—,0,BYE,—,—,—,—,—,—,—,—,0,0.0
Ricky White III,SEA,—,—,—,—,—,—,—,BYE,0,0,—,—,—,—,—,—,—,0,0.0
Dan Chisena,CAR,—,—,—,—,—,—,—,—,—,0,—,—,—,BYE,—,—,—,0,0.0
Dalen Cambre,NYG,—,—,—,—,—,—,—,—,—,—,0,0,0,BYE,0,—,0,0,0.0
Britain Covey,PHI,—,—,—,—,—,—,—,—,BYE,—,—,—,0,0,0,0,0,0,0.0
DJ Turner,LV,—,—,—,—,—,—,—,BYE,—,—,—,—,—,0,—,—,—,0,0.0
Chris Blair,ATL,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,0,0,0,0,0.0
Jordan Moore,CIN,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,0,—,—,0,0.0
Chandler Brayboy,JAC,—,—,—,—,—,—,—,BYE,—,—,—,—,—,—,0,—,—,0,0.0
Kristian Wilkerson,TEN,—,—,—,—,—,—,—,—,—,BYE,—,—,—,—,0,—,—,0,0.0
Lawrence Cager,WAS,—,—,—,—,—,—,—,—,—,—,—,BYE,—,—,—,0,—,0,0.0
Maurice Alexander,CHI,—,—,—,—,BYE,—,—,—,—,—,—,—,—,—,—,0,—,0,0.0
