,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
130,Stefon Diggs,FA,WR,148.92,134.90,166.21,153.67,140.70,132.60,143.50,170.90,234.00,4.50,0.29,,
131,Zach Charbonnet,SEA,RB,163.34,136.00,151.36,110.03,153.44,127.70,148.50,174.90,96.00,6.42,1.12,PUP-P,Knee - ACL
132,Khalil Shakir,BUF,WR,132.50,137.00,135.09,129.43,124.56,133.40,138.70,173.70,150.00,4.85,1.14,,
133,Jayden Higgins,HOU,WR,119.95,138.60,158.76,122.59,117.77,134.10,141.90,170.50,98.50,,0.77,,
134,Brian Robinson,ATL,RB,182.39,139.30,167.82,170.87,182.84,125.10,139.30,167.00,211.50,2.38,0.65,,
135,Jordan Love,GB,QB,117.90,140.80,159.38,70.84,117.82,125.10,65.10,132.00,137.50,6.31,0.39,,
136,Ka'imi Fairbairn,HOU,K,166.67,141.60,135.23,-,-,120.70,222.40,166.10,129.50,1.29,1.51,,
137,Cam Little,JAX,K,183.25,142.50,136.71,101.06,-,128.50,223.20,165.70,190.00,2.32,1.30,,
138,Tyler Allgeier,ARI,RB,136.60,143.20,169.48,162.87,137.02,129.70,143.90,168.50,100.00,3.87,0.10,,
139,Baker Mayfield,TB,QB,115.77,143.70,149.12,78.00,113.04,128.00,68.20,138.50,110.00,8.63,0.88,,
140,Deebo Samuel,SF,WR,141.87,146.20,149.10,145.67,171.49,129.20,146.20,176.50,230.00,3.98,0.82,,
141,Jalen Coker,CAR,WR,127.40,147.50,160.01,133.24,131.32,134.00,145.70,178.30,147.50,2.75,0.72,,
142,Brenton Strange,JAX,TE,148.68,148.70,166.87,133.06,151.62,127.70,129.40,164.00,101.50,3.89,0.16,,
143,Woody Marks,HOU,RB,145.73,150.30,150.27,141.81,141.74,132.30,149.10,175.20,125.50,,0.88,,
144,Harrison Mevis,LAR,K,273.33,151.90,133.73,129.11,-,133.50,224.20,182.60,-,1.46,1.31,,
145,Andy Borregales,NE,K,215.58,154.00,170.30,-,-,145.30,230.80,183.90,-,,0.04,,
146,Ricky Pearsall,SF,WR,999.00,155.90,152.18,117.21,99.86,112.10,178.40,188.80,85.50,,0.71,IR,Knee - PCL
147,Kyler Murray,MIN,QB,110.18,156.00,149.57,80.85,117.28,109.30,85.30,206.60,-,11.09,1.14,,
148,Chris Rodriguez,JAX,RB,138.42,157.10,168.98,136.69,144.82,132.60,161.60,285.30,242.00,4.71,0.37,,
149,Tyrone Tracy,NYG,RB,142.06,158.30,167.49,138.84,134.12,130.40,150.50,179.60,155.50,,0.25,,
150,Rashid Shaheed,SEA,WR,143.45,159.00,156.24,152.11,144.29,129.90,160.10,227.60,185.50,3.82,0.68,,
151,Tyler Shough,NO,QB,122.45,160.90,153.59,83.00,113.77,129.50,82.30,172.20,174.00,4.98,0.89,,
152,Travis Hunter,JAX,WR,257.45,161.70,117.62,138.52,194.79,127.80,168.80,143.80,104.00,,1.59,,
153,Alvin Kamara,NO,RB,168.26,161.90,156.34,155.06,177.79,128.20,161.10,238.00,199.50,4.06,0.58,,
154,Chig Okonkwo,WAS,TE,164.66,163.00,168.56,129.21,160.91,127.10,156.00,226.90,212.00,3.68,0.27,,
155,Jonah Coleman,DEN,RB,183.15,164.90,170.19,26.28,150.36,131.50,165.40,228.80,111.50,12.85,0.01,,
156,T.J. Hockenson,MIN,TE,157.42,165.90,132.66,136.09,179.94,130.90,158.40,236.90,172.00,4.46,1.04,,
157,Juwan Johnson,NO,TE,147.18,166.70,163.46,130.78,150.61,131.30,137.30,177.50,154.00,3.06,0.26,,
158,Tyjae Spears,TEN,RB,154.68,167.90,168.34,130.14,163.03,133.50,164.00,242.50,180.00,4.71,0.14,,
159,Malik Willis,MIA,QB,127.87,168.90,166.86,76.42,138.79,123.20,105.30,211.60,-,7.16,0.20,,
160,Isiah Pacheco,DET,RB,162.44,169.20,157.61,146.15,164.51,127.50,175.60,245.10,167.50,3.46,0.64,,
161,Denzel Boston,CLE,WR,162.85,170.70,167.77,26.47,157.60,131.00,167.30,229.60,103.50,10.36,0.10,,
162,Omar Cooper,NYJ,WR,150.45,172.70,169.58,22.96,170.64,131.60,166.50,212.00,83.50,16.51,0.30,,
163,Dalton Schultz,HOU,TE,174.74,173.80,167.54,157.08,179.37,129.90,140.70,169.30,220.00,1.84,0.12,,
164,Eddy Pineiro,SF,K,213.58,174.50,149.89,-,-,143.50,236.30,233.90,-,1.03,0.90,,
165,Will Reichard,MIN,K,245.55,175.50,165.66,-,-,139.30,278.60,287.80,232.00,,0.33,,
166,Jauan Jennings,MIN,WR,144.31,176.80,169.70,166.03,155.89,129.70,151.40,230.00,179.50,2.98,0.24,,
167,Chris Boswell,PIT,K,260.27,178.40,162.23,-,-,140.30,277.40,215.50,-,1.64,0.33,,
168,Sam Darnold,SEA,QB,290.68,179.60,163.57,97.00,140.42,124.00,84.60,209.30,201.50,8.07,0.26,,
169,De'Zhaun Stribling,SF,WR,149.03,179.80,168.94,33.17,225.54,-,181.90,275.20,239.50,7.91,0.11,Ques,Hamstring
170,Jake Bates,DET,K,232.50,181.00,154.96,-,-,139.00,229.50,181.00,-,1.24,0.80,,
171,Evan McPherson,CIN,K,214.00,182.60,169.01,-,-,143.40,278.50,273.00,260.00,,0.13,,
172,Jalen Nailor,LV,WR,169.84,183.90,169.72,119.93,171.27,129.30,182.00,301.30,253.50,2.33,0.08,,
173,Harrison Butker,KC,K,233.67,184.60,150.46,-,-,134.00,233.30,232.30,-,,0.88,,
174,Keaton Mitchell,LAC,RB,163.08,185.50,170.62,130.56,155.74,133.10,173.50,305.30,198.00,2.04,0.12,,
175,Jalen McMillan,TB,WR,162.89,186.00,167.08,146.75,157.55,130.60,170.10,237.80,157.50,,0.15,,
176,Cam Ward,TEN,QB,211.65,187.10,167.16,90.71,147.36,127.80,92.50,217.60,146.00,,0.18,,
177,Fernando Mendoza,LV,QB,272.01,188.40,166.86,18.57,186.44,123.20,87.90,199.40,112.00,31.60,0.14,,
178,AJ Barner,SEA,TE,188.37,188.60,168.58,162.39,192.94,128.30,159.00,219.80,136.00,2.57,0.08,,
179,C.J. Stroud,HOU,QB,204.23,190.90,166.23,87.02,141.90,126.90,91.50,214.80,133.50,6.18,0.18,,
180,Antonio Williams,WAS,WR,-,191.20,170.19,30.71,193.97,-,169.80,221.20,128.00,10.12,0.19,,
181,Jerry Jeudy,CLE,WR,207.33,192.30,161.65,150.88,179.97,-,176.30,292.80,217.50,4.54,0.65,,
182,Tank Dell,HOU,WR,212.80,193.40,169.17,172.62,224.52,-,203.70,308.70,122.00,2.60,0.08,Ques,Knee - ACL + MCL
183,Emmett Johnson,KC,RB,300.42,194.30,169.97,38.34,163.26,130.40,170.90,231.80,138.00,7.34,0.01,,
184,Dylan Sampson,CLE,RB,159.76,196.20,170.79,159.86,157.66,132.00,174.30,242.90,152.00,,0.15,,
185,Nicholas Singleton,TEN,RB,309.06,197.50,170.16,34.06,200.40,132.40,193.70,276.20,121.50,10.23,0.01,,
186,Zachariah Branch,ATL,WR,245.04,197.80,170.18,39.11,222.15,-,195.90,289.00,173.50,5.81,0.02,,
187,Tank Bigsby,PHI,RB,181.50,199.60,168.19,159.88,186.24,132.10,177.90,303.30,177.50,2.40,0.20,,
188,James Conner,ARI,RB,177.03,200.30,169.99,166.19,206.66,127.30,152.60,233.60,183.50,2.09,0.03,Ques,Foot
189,Cairo Santos,CHI,K,226.25,201.20,166.72,-,-,144.50,314.90,350.50,-,,0.37,,
190,Tyler Loop,BAL,K,203.83,203.10,162.77,-,-,141.00,280.00,244.50,224.00,,0.60,,
191,Cyrus Allen,KC,WR,336.90,206.90,169.71,63.30,241.86,-,242.50,374.50,-,1.82,0.01,Ques,Lower Leg
192,Daniel Jones,IND,QB,208.61,208.70,160.16,92.34,154.33,129.60,107.30,257.30,264.00,5.80,0.58,,
193,Tyreek Hill,FA,WR,237.56,209.50,169.73,-,230.36,132.80,202.10,294.70,222.00,5.04,0.04,Ques,Knee - ACL
194,Ja'Kobi Lane,BAL,WR,-,210.40,169.65,48.39,257.51,-,210.80,295.70,194.00,1.70,0.01,,
195,Terrance Ferguson,LAR,TE,265.72,211.90,166.98,160.55,224.69,128.30,188.20,330.60,164.00,,0.12,,
196,Kayshon Boutte,NE,WR,196.00,212.90,170.63,169.39,209.85,-,197.40,323.50,187.50,2.29,0.16,,
197,Bryce Young,CAR,QB,219.51,213.90,168.32,109.82,163.70,125.40,109.80,264.20,236.00,4.60,0.19,,
198,Adonai Mitchell,NYJ,WR,216.08,214.50,169.53,179.56,201.49,-,197.40,322.10,231.50,,0.07,,
199,David Njoku,LAC,TE,242.06,215.00,169.91,202.48,225.75,125.30,172.60,287.20,228.00,2.32,0.03,,
200,Isaac TeSlaa,DET,WR,171.15,215.10,170.26,174.65,187.22,124.90,196.50,319.30,191.50,,0.19,,
201,Mike Washington,LV,RB,314.21,217.10,170.39,37.39,185.98,131.10,199.00,246.30,182.00,3.90,0.07,,
202,Eli Stowers,PHI,TE,250.81,218.10,170.01,26.60,238.80,-,188.70,235.30,113.50,10.02,,,
203,Cade Otton,TB,TE,207.00,219.40,170.51,192.22,216.16,-,179.90,299.90,246.00,2.27,0.32,,
204,Kaytron Allen,WAS,RB,304.65,220.10,170.26,42.28,200.46,-,209.50,327.20,176.00,6.85,0.01,,
205,Tre Tucker,LV,WR,158.85,221.40,168.02,152.97,168.85,-,192.00,321.60,269.50,3.08,0.12,,
206,Braelon Allen,NYJ,RB,190.53,222.10,170.16,181.24,208.96,-,200.20,314.30,175.50,,0.10,,
207,Tre' Harris,LAC,WR,182.62,223.00,170.75,171.19,177.38,-,201.30,328.20,170.50,,0.22,,
208,Kimani Vidal,LAC,RB,199.98,224.10,170.29,165.11,197.34,-,206.50,335.40,160.00,3.02,0.01,,
209,Gunnar Helm,TEN,TE,212.49,224.40,170.12,174.95,208.67,-,179.60,312.30,181.50,2.73,0.05,,
