,,,,Redraft,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,ESPN,MFL,NFFC,Yahoo,Sleeper,Sleeper,Sleeper,MFL,ESPN,Status,Injury
T623,Keyron Crawford,LV,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jordan Crook,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Maxx Crosby,LV,LB,-,-,76.16,-,-,-,-,73.30,-,,4.50,,
T623,Zach Cunningham,FA,LB,-,-,171.31,-,-,-,-,-,-,,,Ques,Hamstring
T623,Kendal Daniels,ATL,LB,-,-,170.31,74.20,-,-,-,-,-,,,,
T623,Lavonte David,FA,LB,-,-,172.06,-,-,-,-,503.90,-,,,,
T623,Demario Davis,NYJ,LB,-,-,174.86,-,-,-,-,386.70,-,3.60,0.67,,
T623,Jamin Davis,PIT,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Akeem Davis-Gaither,IND,LB,-,-,174.88,-,-,-,-,571.50,-,,,,
T623,Divine Deablo,ATL,LB,-,-,174.95,-,-,-,-,471.50,-,,,,
T623,Nakobe Dean,LV,LB,-,-,146.55,-,-,-,-,196.70,-,,1.17,,
T623,Dominic Deluca,BAL,LB,-,-,-,-,-,-,-,-,-,,,,
T623,SirVocea Dennis,TB,LB,-,-,172.71,-,-,-,-,431.80,-,,,,
T623,Dani Dennis-Sutton,GB,LB,-,-,170.69,78.00,-,-,-,619.00,-,,,,
T623,Mohamoud Diabate,TEN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Yaya Diaby,TB,LB,-,-,176.80,-,-,-,-,371.00,-,,0.17,,
T623,Xzavier Dickson,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Fadil Diggs,NO,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Victor Dimukeje,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jack Dingle,CIN,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Stephen Dix,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Tyrel Dodson,MIA,LB,-,-,173.84,-,-,-,-,268.80,-,,0.83,,
T623,Shaun Dolac,LAR,LB,-,-,170.41,-,-,-,-,-,-,,,Ques,Knee - PCL
T623,Jaden Dugger,SF,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Khalid Duke,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Bud Dupree,LAC,LB,-,-,172.63,-,-,-,-,-,-,,,,
T623,Landis Durham,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Troy Dye,LAC,LB,-,-,171.12,-,-,-,-,-,-,,,,
T623,Kenny Dyson,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Arnold Ebiketie,PHI,LB,-,-,170.58,-,-,-,-,-,-,,,,
T623,Tremaine Edmunds,NYG,LB,-,-,173.02,-,-,-,-,277.70,-,5.19,1.00,,
T623,T.J. Edwards,CHI,LB,-,-,176.81,-,-,-,-,373.10,-,4.45,0.50,NFI-A,Calf
T623,Sam Eguavoen,FA,LB,-,-,174.37,-,-,-,-,-,-,,,,
T623,Tommy Eichenberg,LV,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Milo Eifler,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kaleb Elarms-Orr,BUF,LB,-,-,170.32,53.99,-,-,-,509.30,-,,,,
T623,Keyshaun Elliott,CHI,LB,-,-,170.00,-,-,-,-,-,-,,,PUP-P,Undisclosed
T623,Christian Elliss,NE,LB,-,-,172.80,-,-,-,-,469.20,-,2.14,,,
T623,Jonah Elliss,DEN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kaden Elliss,NO,LB,-,-,175.95,-,-,-,-,300.10,-,5.54,,,
T623,Kingsley Enagbare,NYJ,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Rashaan Evans,FA,LB,-,-,171.66,-,-,-,-,-,-,,,,
T623,Donovan Ezeiruaku,DAL,LB,-,-,175.43,-,-,-,-,464.40,-,,,,
T623,Andrew Farmer,SF,LB,-,-,170.00,-,-,-,-,-,-,,,IR,Back
T623,Olakunle Fatukasi,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Tony Fields,CHI,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Aiden Fisher,HOU,LB,-,-,170.15,-,-,-,-,-,-,,,,
T623,Demetrius Flannigan-Fowles,BUF,LB,-,-,169.80,-,-,-,-,-,-,,0.17,,
T623,Jaylan Ford,NO,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Trace Ford,NYG,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Caden Fordham,TB,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Dante Fowler,SEA,LB,-,-,173.48,-,-,-,-,-,-,,,,
T623,Tomon Fox,LAR,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Zaire Franklin,GB,LB,-,-,173.73,-,-,-,-,131.30,-,5.35,,,
T623,Theron Gaines,BUF,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Dallas Gant,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jake Ganus,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Dennis Gardeck,JAX,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Rashan Gary,DAL,LB,-,-,170.96,-,-,-,-,240.80,-,,,,
T623,Willie Gay,MIA,LB,-,-,169.23,-,-,-,-,-,-,,,,
T623,Ali Gaye,HOU,LB,-,-,169.74,-,-,-,-,-,-,,,,
T623,Eric Gentry,CIN,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Brandon George,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jack Gibbens,ARI,LB,-,-,169.90,-,-,-,-,577.00,-,,,,
T623,Luke Gifford,SF,LB,-,-,171.45,-,-,-,-,-,-,,,,
T623,Joe Giles-Harris,CIN,LB,-,-,170.02,-,-,-,-,-,-,,,,
T623,Cam Gill,CAR,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Trevis Gipson,CAR,LB,-,-,170.54,-,-,-,-,-,-,,,,
T623,Jake Golday,MIN,LB,-,-,171.30,43.77,-,-,-,411.10,-,,,,
T623,Chauncey Golston,NYG,LB,-,-,170.94,-,-,-,-,-,-,,,,
T623,Cameron Goode,MIA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Brandon Graham,FA,LB,-,-,168.73,-,-,-,-,-,-,,,,
T623,Jalen Graham,SF,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Cedric Gray,TEN,LB,-,-,135.99,-,-,-,-,248.10,-,,1.17,,
T623,Mike Green,BAL,LB,-,-,170.93,-,-,-,-,507.80,-,,,,
T623,Jonathan Greenard,PHI,LB,-,-,174.46,-,-,-,-,296.30,-,3.01,0.83,PUP-P,Pectoral
T623,Dre Greenlaw,SF,LB,-,-,174.79,-,-,-,-,407.40,-,3.00,,,
T623,Antonio Grier,FA,LB,-,-,170.00,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Kamu Grugier-Hill,FA,LB,-,-,172.26,-,-,-,-,-,-,,,,
T623,Derick Hall,SEA,LB,-,-,170.22,-,-,-,-,589.30,-,,,,
T623,Dominique Hampton,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nick Hampton,CAR,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jake Hansen,HOU,LB,-,-,170.00,-,-,-,-,-,-,,,Ques,Ankle
T623,Aaron Hansford,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Daniel Hardy,CHI,LB,-,-,170.90,-,-,-,-,-,-,,,,
T623,Jaylen Harrell,TEN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Charles Harris,FA,LB,-,-,171.28,-,-,-,-,-,-,,,,
T623,Christian Harris,ATL,LB,-,-,173.78,-,-,-,-,482.60,-,,,,
T623,Connor Harris,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Darius Harris,FA,LB,-,-,171.59,-,-,-,-,-,-,,,Ques,Undisclosed
T623,Demone Harris,FA,LB,-,-,171.31,-,-,-,-,-,-,,,,
T623,Malik Harrison,PIT,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Ronnie Harrison,MIA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Marquis Haynes,FA,LB,-,-,171.40,-,-,-,-,-,-,,,,
T623,Romello Height,SF,LB,-,-,171.01,-,-,-,-,523.00,-,,,Ques,Elbow
T623,Daiyan Henley,LAC,LB,-,-,175.91,-,-,-,-,122.00,-,,,,
T623,Nick Herbig,PIT,LB,-,-,170.80,-,-,-,-,364.00,-,,,,
T623,Neville Hewitt,FA,LB,-,-,171.39,-,-,-,-,-,-,,,,
T623,Shaka Heyward,CIN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Clarence Hicks,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jordan Hicks,FA,LB,-,-,173.83,-,-,-,-,-,-,,,,
T623,Jay Higgins,BAL,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Alex Highsmith,PIT,LB,-,-,164.84,-,-,-,-,271.30,-,,0.83,,
T623,Anthony Hill,TEN,LB,-,-,171.18,-,-,-,-,222.40,-,,,,
T623,Jamal Hill,HOU,LB,-,-,170.00,-,-,-,-,-,-,,,Ques,Wrist
T623,Nikhal Hill-Green,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Cole Holcomb,PIT,LB,-,-,172.50,-,-,-,-,-,-,,,,
T623,Ty'Ron Hopper,GB,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,James Houston,DAL,LB,-,-,169.93,-,-,-,-,-,-,,,,
T623,Justin Houston,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Khaleke Hudson,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Parker Hughes,JAX,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Andrzej Hughes-Murray,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jake Hummel,HOU,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jalyx Hunt,PHI,LB,-,-,171.19,-,-,-,-,376.00,-,,,,
T623,Danielle Hunter,HOU,LB,-,-,149.44,-,-,-,-,193.60,-,7.31,0.83,,
T623,Erick Hunter,DET,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Ruben Hyppolite,CHI,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Thomas Incoom,CAR,LB,-,-,170.89,-,-,-,-,-,-,,,Ques,Shoulder
T623,Adisa Isaac,BAL,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jared Ivey,SEA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Brennan Jackson,LV,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,D'Marco Jackson,CHI,LB,-,-,171.21,-,-,-,-,629.30,-,1.59,,,
T623,Drake Jackson,WAS,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nick Jackson,TB,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Storey Jackson,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Curtis Jacobs,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Khalil Jacobs,NE,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Shemar James,DAL,LB,-,-,172.24,-,-,-,-,-,-,,,,
T623,Justin Jefferson,CLE,LB,-,-,170.20,-,-,-,-,-,-,,0.17,,
T623,Keonta Jenkins,BUF,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Anfernee Jennings,NO,LB,-,-,170.82,-,-,-,-,-,-,,,,
T623,Josey Jewell,FA,LB,-,-,173.32,-,-,-,-,-,-,,,Ques,Concussion
T623,Buddy Johnson,LV,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Caleb Johnson,FA,LB,-,-,170.00,-,-,-,-,-,-,,,Ques,Shoulder
T623,Deandre Johnson,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Dyontae Johnson,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Emany Johnson,LAC,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jamon Johnson,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Patrick Johnson,LV,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Cam Jones,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Carl Jones,BAL,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Deion Jones,FA,LB,-,-,175.15,-,-,-,-,-,-,,,,
T623,Dre'Mont Jones,NE,LB,-,-,170.00,-,-,-,-,626.80,-,,,,
T623,Ernest Jones,SEA,LB,-,-,155.62,-,-,-,-,202.10,-,,0.83,,
T623,Patrick Jones,CAR,LB,-,-,171.06,-,-,-,-,-,-,,,,
T623,Truman Jones,TEN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Vi Jones,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Ale Kaho,WAS,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Mikail Kamara,SF,LB,-,-,-,-,-,-,-,-,-,,,IR,Knee
T623,Mohamed Kamara,TB,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Khalid Kareem,NYG,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jack Kelly,NYG,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nyjalik Kelly,GB,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Keith Kelsey,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Eric Kendricks,FA,LB,-,-,173.51,-,-,-,-,-,-,,,,
T623,Mychal Kendricks,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Kyle Kennard,LAC,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Arden Key,IND,LB,-,-,170.00,-,-,-,-,644.00,-,,,,
T623,Austin Keys,ARI,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Isiah King,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Kobe King,NYJ,LB,-,-,170.00,-,-,-,-,-,-,,,IR,Undisclosed
T623,Niles King,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jack Kiser,JAX,LB,-,-,170.75,-,-,-,-,-,-,,0.17,Ques,Knee
T623,Demetrius Knight,CIN,LB,-,-,175.28,-,-,-,-,357.70,-,,,,
T623,Tyrice Knight,SEA,LB,-,-,171.28,-,-,-,-,502.10,-,,,,
T623,Jamree Kromah,CHI,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jackson Kuwatch,CAR,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,William Kwenkeu,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nate Landman,LAR,LB,-,-,152.50,-,-,-,-,247.30,-,,1.00,,
T623,Harold Landry,NE,LB,-,-,176.57,-,-,-,-,263.80,-,,,PUP-P,Undisclosed
T623,DeMarcus Lawrence,SEA,LB,-,-,173.59,-,-,-,-,562.10,-,,0.67,,
T623,Malachi Lawrence,DAL,LB,-,-,171.34,52.32,-,-,-,428.60,-,,,,
T623,Carl Lawson,FA,LB,-,-,171.29,-,-,-,-,-,-,,,,
T623,Deontae Lawson,PHI,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Keli Lawson,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Eku Leota,ARI,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Cody Lindenberg,LV,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Marist Liufau,DAL,LB,-,-,171.00,-,-,-,-,-,-,,,,
T623,Damon Lloyd,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Devin Lloyd,CAR,LB,-,-,176.44,-,-,-,-,197.80,-,,,,
T623,David Long,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kyle Louis,MIA,LB,-,-,170.00,59.51,-,-,-,681.50,-,,,,
T623,Jesse Luketa,NE,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Frankie Luvu,WAS,LB,-,-,175.12,-,-,-,-,336.50,-,3.40,,,
T623,Blake Lynch,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nate Lynn,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Khalil Mack,LAC,LB,-,-,175.77,-,-,-,-,485.20,-,,,,
T623,Boye Mafe,CIN,LB,-,-,173.00,-,-,-,-,391.80,-,,,,
T623,Jordan Magee,WAS,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,DeAngelo Malone,ATL,LB,-,-,170.00,-,-,-,-,-,-,,,PUP-P,Undisclosed
T623,Marte Mapu,HOU,LB,-,-,171.06,-,-,-,-,-,-,,,,
T623,Chandler Martin,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jacob Martin,TEN,LB,-,-,171.67,-,-,-,-,-,-,,,,
T623,Josh Martin,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Nick Martin,SF,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Bam Martin-Scott,CAR,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Easton Mascarenas-Arnold,CLE,LB,-,-,169.73,-,-,-,-,-,-,,,,
T623,Luke Masterson,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Tyler Matakevich,FA,LB,-,-,174.95,-,-,-,-,-,-,,,,
T623,Ochaun Mathis,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Wayne Matthews,CHI,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Kana'i Mauga,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Francisco Mauigoa,NYJ,LB,-,-,170.00,-,-,-,-,-,-,,,Ques,Neck
T623,Dorian Mausi,TEN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Albert McClellan,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Marcelino McCrary-Ball,NYJ,LB,-,-,169.74,-,-,-,-,-,-,,,,
T623,Dasan McCullough,DEN,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Cooper McDonald,KC,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Isaiah McDuffie,GB,LB,-,-,171.20,-,-,-,-,635.50,-,,,,
T623,Micah McFadden,NYG,LB,-,-,170.60,-,-,-,-,514.00,-,,,,
T623,Cameron McGrone,LV,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Derrick McLendon,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jalen McLeod,JAX,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Raekwon McMillan,FA,LB,-,-,171.56,-,-,-,-,-,-,,,,
T623,Kain Medrano,WAS,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Akheem Mesidor,LAC,LB,-,-,170.00,48.47,-,-,-,265.20,-,,,,
T623,Matt Milano,FA,LB,-,-,172.13,-,-,-,-,-,-,,,,
T623,Ventrell Miller,JAX,LB,-,-,172.84,-,-,-,-,352.50,-,4.49,,,
T623,Smael Mondon,PHI,LB,-,-,170.17,-,-,-,-,-,-,,,,
T623,Jeremiah Moon,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Trey Moore,MIA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Nicholas Morrow,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Arron Mosby,GB,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,C.J. Mosley,FA,LB,-,-,173.05,-,-,-,-,-,-,,,,
T623,Darius Muasau,NYG,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jamil Muhammad,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Chad Muma,NE,LB,-,-,170.23,-,-,-,-,-,-,,,,
T623,Red Murdock,DEN,LB,-,-,170.00,83.35,-,-,-,-,-,,,,
T623,Caleb Murphy,NYG,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Gabriel Murphy,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Kenneth Murray,FA,LB,-,-,170.00,-,-,-,-,442.10,-,,,,
T623,Tanner Muse,FA,LB,-,-,171.78,-,-,-,-,-,-,,,,
T623,Carl Nassib,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Elias Neal,LAR,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Anthony Nelson,TB,LB,-,-,170.68,-,-,-,-,-,-,,,,
T623,Garrett Nelson,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Yannick Ngakoue,FA,LB,-,-,171.32,-,-,-,-,-,-,,,,
T623,Ben Niemann,FA,LB,-,-,171.74,-,-,-,-,-,-,,,,
T623,Nick Niemann,GB,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Maema Njongmeta,CAR,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Bryce Notree,FA,LB,-,-,-,-,-,-,-,601.50,-,,,,
T623,Trevor Nowaske,DET,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Uchenna Nwosu,SEA,LB,-,-,172.56,-,-,-,-,568.40,-,,,,
T623,Patrick O'Connell,SEA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Connor O'Toole,SEA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Namdi Obiazor,NE,LB,-,-,170.00,82.88,-,-,-,-,-,,,,
T623,Amen Ogbongbemiga,FA,LB,-,-,169.98,-,-,-,-,-,-,,,,
T623,Adetokunbo Ogundeji,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,David Ojabo,MIA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Azeez Ojulari,ATL,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,BJ Ojulari,ARI,LB,-,-,170.66,-,-,-,-,-,-,,,,
T623,Bobby Okereke,FA,LB,-,-,171.90,-,-,-,-,338.20,-,3.52,,,
T623,Ogbo Okoronkwo,FA,LB,-,-,171.30,-,-,-,-,-,-,,,,
T623,Oluwafemi Oladejo,TEN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Collin Oliver,GB,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Segun Olubi,LV,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Foyesade Oluokun,JAX,LB,-,-,137.66,-,-,-,-,152.60,-,,1.83,,
T623,Joshua Onujiogu,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Anfernee Orji,NYG,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,K.C. Ossai,HOU,LB,-,-,-,-,-,-,-,-,-,,,,
T623,DeMarvion Overshown,DAL,LB,-,-,173.23,-,-,-,-,404.00,-,,0.33,,
T623,Odafe Oweh,WAS,LB,-,-,176.20,-,-,-,-,422.40,-,,0.33,,
T623,Jeremiah Owusu-Koramoah,CLE,LB,-,-,170.00,-,-,-,-,-,-,,,PUP-R,Neck
T623,Ivan Pace,MIN,LB,-,-,171.10,-,-,-,-,437.40,-,,,,
T623,Owen Pappoe,ARI,LB,-,-,170.76,-,-,-,-,-,-,,,,
T623,T.J. Parker,BUF,LB,-,-,169.65,67.00,-,-,-,-,-,,,,
T623,Micah Parsons,GB,LB,-,-,158.03,-,-,-,-,95.20,-,,1.00,PUP-P,Knee - ACL
T623,Langston Patterson,DAL,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Chris Paul,SEA,LB,-,-,170.19,-,-,-,-,-,-,,,,
T623,James Pearce,ATL,LB,-,-,174.42,-,-,-,-,410.50,-,,,,
T623,Harold Perkins,ATL,LB,-,-,170.00,71.74,-,-,-,-,-,,,,
T623,Denzel Perryman,LAC,LB,-,-,176.79,-,-,-,-,-,-,1.71,,,
T623,Darryl Peterson,LAR,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Del'Shawn Phillips,LAC,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jacob Phillips,FA,LB,-,-,170.00,-,-,-,-,-,-,,,Ques,Biceps
T623,Jaelan Phillips,CAR,LB,-,-,172.87,-,-,-,-,293.70,-,,,,
T623,Jason Pierre-Paul,FA,LB,-,-,169.81,-,-,-,-,-,-,,,,
T623,Anthony Pittman,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Elijah Ponder,NE,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Bumper Pool,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Marcus Porter,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Mani Powell,TEN,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Germaine Pratt,FA,LB,-,-,173.31,-,-,-,-,-,-,,,,
T623,Isaiah Pryor,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Alani Pututau,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jack Pyburn,TB,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Shaquille Quarterman,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Patrick Queen,PIT,LB,-,-,173.51,-,-,-,-,262.00,-,,0.17,,
T623,TJ Quinn,GB,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jose Ramirez,PHI,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Garmon Randolph,LAC,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Haason Reddick,FA,LB,-,-,172.41,-,-,-,-,-,-,,,,
T623,Troy Reeder,DET,LB,-,-,171.45,-,-,-,-,-,-,,,,
T623,Arvell Reese,NYG,LB,-,-,174.46,22.68,-,-,-,149.70,-,,,,
T623,Otis Reese,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jalen Reeves-Maybin,FA,LB,-,-,172.00,-,-,-,-,-,-,,,,
T623,Karene Reid,DEN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Winston Reid,CLE,LB,-,-,170.19,-,-,-,-,-,-,1.34,,,
T623,Mason Reiger,MIA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,LaRoy Reynolds,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Jon Rhattigan,CHI,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Forrest Rhyne,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Monty Rice,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Bo Richter,MIN,LB,-,-,170.60,-,-,-,-,-,-,,,,
T623,Cam Riley,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Duke Riley,FA,LB,-,-,173.25,-,-,-,-,-,-,,,,
T623,Chauncey Rivers,FA,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Elandon Roberts,FA,LB,-,-,173.25,-,-,-,-,-,-,,,,
T623,Jacob Roberts,MIN,LB,-,-,-,-,-,-,-,-,-,,,,
T623,Curtis Robinson,DAL,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Mark Robinson,FA,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Que Robinson,DEN,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Tavius Robinson,BAL,LB,-,-,170.00,-,-,-,-,-,-,,,,
T623,Jacob Rodriguez,MIA,LB,-,-,170.42,30.81,-,-,-,467.40,-,,,,
T623,Malcolm Rodriguez,DET,LB,-,-,170.70,-,-,-,-,-,-,2.68,,,
T623,Jimmy Rolder,DET,LB,-,-,170.37,70.98,-,-,-,-,-,,,Ques,Hamstring
T623,Josh Ross,MIN,LB,-,-,-,-,-,-,-,-,-,,,,
