,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
T350,Jordan Moore,CIN,WR,-,-,-,,
T350,Skyy Moore,GB,WR,-,-,532.50,,
T350,Jalen Moreno-Cropper,NO,WR,-,-,-,,
T350,Taylor Morin,FA,WR,-,-,-,,
T350,Mante' Morrow,LAC,WR,-,-,-,,
T350,Moose Muhammad,FA,WR,-,-,-,,
T350,Konata Mumpfield,LAR,WR,216.00,-,462.30,,
T350,Jaylin Lane,WAS,WR,216.00,-,440.50,,
T350,Gage Larvadain,CLE,WR,-,-,-,,
T350,Kwamie Lassiter,FA,WR,-,-,-,,
T350,Kendrick Law,DET,WR,-,-,-,IR,Knee - ACL
T350,Allen Lazard,FA,WR,-,-,-,,
T350,Shane Leatherbury,FA,WR,-,-,-,,
T350,Donaven McCulley,MIA,WR,-,-,-,,
T350,Lance McCutcheon,TEN,WR,-,-,-,,
T350,Ryan McDaniel,FA,WR,-,-,-,,
T350,Alex McGough,FA,WR,-,-,-,,
T350,Kyric McGowan,FA,WR,-,-,-,,
T350,Isaiah McKenzie,FA,WR,-,-,-,,
T350,KeAndre Lambert-Smith,LAC,WR,-,-,-,,
T350,Bryce Lance,NO,WR,216.00,-,341.50,,
T350,Bub Means,NO,WR,-,-,492.00,,
T350,Malick Meiga,CAR,WR,-,-,-,,
T350,Tommy Mellott,FA,WR,-,-,-,,
T350,Bo Melton,GB,WR,-,-,404.00,,
T350,DeAndre Hopkins,FA,WR,-,-,-,,
T350,Jimmy Horn,CAR,WR,216.00,-,434.50,,
T350,TreVontae Hights,FA,WR,-,-,-,,
T350,Malik Flowers,FA,WR,-,-,-,,
T350,Chris Hilton,WAS,WR,-,-,-,,
T350,T.Y. Hilton,FA,WR,-,-,-,,
T350,Kendall Hinton,FA,WR,-,-,-,,
T350,Changa Hodge,FA,WR,-,-,-,,
T350,KhaDarel Hodge,FA,WR,-,-,-,,
T350,Isaiah Hodgins,NYG,WR,-,-,-,,
T350,Traeshon Holden,DAL,WR,-,-,-,,
T350,Cyrus Holder,FA,WR,-,-,-,,
T350,Jimmy Holiday,KC,WR,-,-,-,,
T350,Alexander Hollins,FA,WR,-,-,-,,
T350,Trenton Irwin,SF,WR,-,-,-,,
T350,Andy Isabella,FA,WR,-,-,-,Ques,Ankle
T350,Calvin Jackson,FA,WR,-,-,-,,
T350,Courtney Jackson,TEN,WR,-,-,-,,
T350,JaQuae Jackson,LAC,WR,-,-,-,,
T350,Jermaine Jackson,FA,WR,-,-,-,,
T350,Jha'Quan Jackson,HOU,WR,-,-,-,,
T350,Kearis Jackson,FA,WR,-,-,-,,
T350,Lucky Jackson,DET,WR,-,-,-,,
T350,Shedrick Jackson,LV,WR,-,-,-,,
