,,,,Redraft,,Dynasty,Health Report,
Rank,Name,Team,Pos,Underdog,Sleeper,Sleeper,Status,Injury
T350,Patrick Queen,PIT,LB,-,-,-,,
T350,TJ Quinn,GB,LB,-,-,-,,
T350,Jose Ramirez,PHI,LB,-,-,-,,
T350,Garmon Randolph,LAC,LB,-,-,-,,
T350,Haason Reddick,FA,LB,-,-,-,,
T350,Troy Reeder,DET,LB,-,-,-,,
T350,Arvell Reese,NYG,LB,-,-,-,,
T350,Otis Reese,FA,LB,-,-,-,,
T350,Jalen Reeves-Maybin,FA,LB,-,-,-,,
T350,Karene Reid,DEN,LB,-,-,-,,
T350,Winston Reid,CLE,LB,-,-,-,,
T350,Mason Reiger,MIA,LB,-,-,-,,
T350,LaRoy Reynolds,FA,LB,-,-,-,,
T350,Jon Rhattigan,CHI,LB,-,-,-,,
T350,Forrest Rhyne,FA,LB,-,-,-,,
T350,Monty Rice,FA,LB,-,-,-,,
T350,Bo Richter,MIN,LB,-,-,-,,
T350,Cam Riley,FA,LB,-,-,-,,
T350,Duke Riley,FA,LB,-,-,-,,
T350,Chauncey Rivers,FA,LB,-,-,-,,
T350,Elandon Roberts,FA,LB,-,-,-,,
T350,Jacob Roberts,MIN,LB,-,-,-,,
T350,Curtis Robinson,DAL,LB,-,-,-,,
T350,Mark Robinson,FA,LB,-,-,-,,
T350,Que Robinson,DEN,LB,-,-,-,,
T350,Tavius Robinson,BAL,LB,-,-,-,,
T350,Jacob Rodriguez,MIA,LB,-,-,-,,
T350,Malcolm Rodriguez,DET,LB,-,-,-,,
T350,Jimmy Rolder,DET,LB,-,-,-,Ques,Hamstring
T350,Josh Ross,MIN,LB,-,-,-,,
T350,Christian Rozeboom,TB,LB,-,-,-,,
T350,Kaimon Rucker,BAL,LB,-,-,-,,
T350,Chris Rumph,NO,LB,-,-,-,,
T350,Chapelle Russell,FA,LB,-,-,-,,
T350,J.J. Russell,FA,LB,-,-,-,Ques,Concussion
T350,Jack Sanborn,CHI,LB,-,-,-,,
T350,Drew Sanders,DEN,LB,-,-,-,,
T350,Jack Sawyer,PIT,LB,-,-,-,,
T350,Carson Schwesinger,CLE,LB,-,-,-,,
T350,Nic Scourton,CAR,LB,-,-,-,IR,Knee - ACL
T350,Nephi Sewell,CHI,LB,-,-,-,,
T350,Noah Sewell,CHI,LB,-,-,-,PUP-P,Achilles
T350,Karson Sharar,ARI,LB,-,-,-,Ques,Hamstring
T350,Ty Shelby,FA,LB,-,-,-,,
T350,Jamie Sheriff,SEA,LB,-,-,-,,
T350,Jamien Sherwood,NYJ,LB,-,-,-,,
T350,Cody Simon,ARI,LB,-,-,-,,
T350,Trenton Simpson,BAL,LB,-,-,-,,
T350,Alex Singleton,DEN,LB,-,-,-,,
T350,Jackson Sirmon,NO,LB,-,-,-,,
T350,Brandon Smith,FA,LB,-,-,-,,
T350,Nolan Smith,PHI,LB,-,-,-,,
T350,Roquan Smith,BAL,LB,-,-,-,,
T350,Tyreke Smith,KC,LB,-,-,-,,
T350,James Smith-Williams,FA,LB,-,-,-,,
T350,Xavian Sorey,LV,LB,-,-,-,,
T350,Barryn Sorrell,GB,LB,-,-,-,,
T350,Baylon Spector,FA,LB,-,-,-,,
T350,E.J. Speed,HOU,LB,-,-,-,PUP-P,Quadriceps
T350,Omar Speights,LAR,LB,-,-,-,,
T350,Robert Spillane,NE,LB,-,-,-,,
T350,Isaiah Stalbird,NO,LB,-,-,-,,
T350,Cam'Ron Stewart,MIN,LB,-,-,-,,
T350,Josaiah Stewart,LAR,LB,-,-,-,,
T350,Justin Strnad,DEN,LB,-,-,-,,
T350,Grant Stuard,LAR,LB,-,-,-,,
T350,Danny Stutsman,NO,LB,-,-,-,,
T350,Sonny Styles,WAS,LB,-,-,-,,
T350,Ty Summers,FA,LB,-,-,-,Ques,Foot
T350,Chazz Surratt,SEA,LB,-,-,-,,
T350,Josh Sweat,ARI,LB,-,-,-,PUP-P,Knee
T350,Bradyn Swinson,NE,LB,-,-,-,,
T350,Sione Takitaki,HOU,LB,-,-,-,,
T350,Jahlani Tavai,FA,LB,-,-,-,,
T350,Kayvon Thibodeaux,NYG,LB,-,-,-,,
T350,Brayden Thomas,FA,LB,-,-,-,,
T350,Chris Thomas,FA,LB,-,-,-,,
T350,DQ Thomas,FA,LB,-,-,-,,
T350,Drake Thomas,SEA,LB,-,-,-,,
T350,Isaiah Thomas,FA,LB,-,-,-,,
T350,Keir Thomas,LAR,LB,-,-,-,,
T350,Xavier Thomas,FA,LB,-,-,-,Ques,Undisclosed
T350,Shaq Thompson,FA,LB,-,-,-,,
T350,Dondrea Tillman,DEN,LB,-,-,-,,
T350,Channing Tindall,ATL,LB,-,-,-,,
T350,Henry To'oTo'o,HOU,LB,-,-,-,,
T350,Drue Tranquill,KC,LB,-,-,-,,
T350,Bralen Trice,ATL,LB,-,-,-,,
T350,Jeremiah Trotter,PHI,LB,-,-,-,,
T350,Josiah Trotter,TB,LB,-,-,-,,
T350,Nadame Tucker,LAC,LB,-,-,-,,
T350,Tuli Tuipulotu,LAC,LB,-,-,-,,
T350,Dallas Turner,MIN,LB,-,-,-,,
T350,Ezekiel Turner,FA,LB,-,-,-,Ques,Foot
T350,Jordan Turner,DEN,LB,-,-,-,NFI-A,Undisclosed
T350,Joshua Uche,MIA,LB,-,-,-,,
T350,Edefuan Ulofoshio,CLE,LB,-,-,-,,
T350,Princely Umanmielen,CAR,LB,-,-,-,,
T350,Andrew Van Ginkel,MIN,LB,-,-,-,,
T350,Lukas Van Ness,GB,LB,-,-,-,,
T350,Kyle Van Noy,FA,LB,-,-,-,,
T350,Zach VanValkenburg,FA,LB,-,-,-,,
T350,Joseph Vaughn,SEA,LB,-,-,-,,
T350,Devin Veresuk,IND,LB,-,-,-,,
T350,Jared Verse,CLE,LB,-,-,-,,
T350,Nick Vigil,FA,LB,-,-,-,,
T350,Bobby Wagner,FA,LB,-,-,-,,
T350,Anthony Walker,FA,LB,-,-,-,,
T350,Arden Walker,MIN,LB,-,-,-,,
T350,David Walker,TB,LB,-,-,-,,
T350,Jailin Walker,FA,LB,-,-,-,,
T350,Jalon Walker,ATL,LB,-,-,-,,
T350,Johnny Walker,DEN,LB,-,-,-,,
T350,Mykal Walker,NYJ,LB,-,-,-,,
T350,Quay Walker,LV,LB,-,-,-,,
T350,Trevin Wallace,CAR,LB,-,-,-,Ques,Shoulder
T350,Garret Wallow,SF,LB,-,-,-,,
T350,Eddie Walls,LAR,LB,-,-,-,IR,Undisclosed
T350,Jihad Ward,FA,LB,-,-,-,,
T350,Fred Warner,SF,LB,-,-,-,,
T350,Nathaniel Watson,CLE,LB,-,-,-,Ques,Biceps
T350,T.J. Watt,PIT,LB,-,-,-,,
T350,Marlowe Wax,LAC,LB,-,-,-,,
T350,Rashad Weaver,FA,LB,-,-,-,,
T350,West Weeks,IND,LB,-,-,-,,
T350,Kristian Welch,GB,LB,-,-,-,,
T350,Carson Wells,FA,LB,-,-,-,,
T350,Julius Welschof,PIT,LB,-,-,-,,
T350,Pete Werner,NO,LB,-,-,-,,
T350,Ja'Markis Weston,SEA,LB,-,-,-,IR,Undisclosed
T350,DaShaun White,FA,LB,-,-,-,,
T350,Devin White,DET,LB,-,-,-,,
T350,Kyzir White,FA,LB,-,-,-,,
T350,Benton Whitley,CLE,LB,-,-,-,,
T350,Nate Wieland,FA,LB,-,-,-,,
T350,Dorian Williams,BUF,LB,-,-,-,Ques,Lower Body
T350,James Williams,TEN,LB,-,-,-,,
T350,Quincy Williams,CLE,LB,-,-,-,,
T350,Scooby Williams,MIN,LB,-,-,-,,
T350,Reid Williford,BAL,LB,-,-,-,,
T350,Eric Wilson,MIN,LB,-,-,-,,
T350,Logan Wilson,FA,LB,-,-,-,,
T350,Mack Wilson,ARI,LB,-,-,-,,
T350,Payton Wilson,PIT,LB,-,-,-,,
T350,Riley Wilson,NE,LB,-,-,-,,
T350,Jacoby Windmon,PIT,LB,-,-,-,,
T350,Dee Winters,DAL,LB,-,-,-,,
T350,D.J. Wonnum,DET,LB,-,-,-,,
T350,Jackson Woodard,MIA,LB,-,-,-,,
T350,Wade Woodaz,HOU,LB,-,-,-,,
T350,Josh Woods,ATL,LB,-,-,-,,
T350,Chandler Wooten,FA,LB,-,-,-,,
T350,Javin Wright,TB,LB,-,-,-,,
T350,Kadofi Wright,FA,LB,-,-,-,,
T350,Oshane Ximines,FA,LB,-,-,-,,
T350,Taurean York,DEN,LB,-,-,-,,
T350,Byron Young,LAR,LB,-,-,-,,
T350,Chase Young,NO,LB,-,-,-,,
T350,Jordan Young,FA,LB,-,-,-,,
T350,Zion Young,BAL,LB,-,-,-,,
T350,Nash Hutmacher,TB,OG,-,-,-,,
T350,Dylan Parham,NYJ,OG,-,-,-,,
T350,Chris Williams,FA,OG,-,-,-,,
T350,Hunter Thedford,FA,OT,-,-,-,,
T350,Leroy Watson,FA,OT,-,-,-,,
T350,Bryan Anger,DAL,P,-,-,-,,
T350,Matt Araiza,KC,P,-,-,-,,
T350,Jake Bailey,ATL,P,-,-,-,,
T350,Bryce Baringer,NE,P,-,-,-,,
T350,Corey Bojorquez,CLE,P,-,-,-,,
T350,Jack Browning,FA,P,-,-,-,,
T350,James Burnip,FA,P,-,-,-,,
T350,Jake Camarda,FA,P,-,-,-,,
T350,AJ Cole,LV,P,-,-,-,,
T350,Logan Cooke,JAX,P,-,-,-,,
T350,Jeremy Crawshaw,DEN,P,-,-,-,,
T350,Michael Dickson,SEA,P,-,-,-,,
T350,Riley Dixon,TB,P,-,-,-,,
T350,Tommy Doman,BUF,P,-,-,-,,
T350,Ryan Eckley,BAL,P,-,-,-,,
T350,Ethan Evans,LAR,P,-,-,-,,
T350,Jack Fox,DET,P,-,-,-,,
T350,Trenton Gill,FA,P,-,-,-,,
T350,Jamie Gillan,FA,P,-,-,-,,
T350,Blake Gillikin,ARI,P,-,-,-,,
T350,Matt Haack,WAS,P,-,-,-,,
T350,Matthew Hayball,ATL,P,-,-,-,,
T350,Lou Hedley,FA,P,-,-,-,,
T350,Johnny Hekker,MIN,P,-,-,-,,
T350,Cameron Johnston,PIT,P,-,-,-,,
T350,Kai Kroeger,HOU,P,-,-,-,,
T350,Ty Long,FA,P,-,-,-,,
T350,Braden Mann,PHI,P,-,-,-,,
T350,Sam Martin,CAR,P,-,-,-,,
T350,Austin McNamara,NYJ,P,-,-,-,,
T350,Thomas Morstead,FA,P,-,-,-,,
T350,Pat O'Donnell,FA,P,-,-,-,,
T350,Michael Palardy,FA,P,-,-,-,,
T350,Bradley Pinion,MIA,P,-,-,-,,
T350,Ryan Rehkow,CIN,P,-,-,-,,
T350,Brad Robbins,FA,P,-,-,-,,
T350,Rigoberto Sanchez,IND,P,-,-,-,,
T350,JK Scott,LAC,P,-,-,-,,
T350,Ryan Stonehouse,FA,P,-,-,-,,
T350,Jordan Stout,NYG,P,-,-,-,,
T350,Tory Taylor,CHI,P,-,-,-,,
T350,Tommy Townsend,TEN,P,-,-,-,,
T350,Corliss Waitman,SF,P,-,-,-,,
T350,Tress Way,WAS,P,-,-,-,NFI-A,Pectoral
T350,Daniel Whelan,GB,P,-,-,-,,
T350,Matt Wile,FA,P,-,-,-,,
T350,Mitch Wishnowsky,BUF,P,-,-,-,,
T350,Brandon Wright,FA,P,-,-,481.00,,
T350,Ryan Wright,NO,P,-,-,-,,
T350,Ty Zentner,FA,P,-,-,-,,
T350,Joey Aguilar,JAX,QB,-,-,-,,
T350,Holton Ahlers,FA,QB,-,-,-,,
T350,Christian Kuntz,PIT,C,-,-,-,,
T350,Keith Abney,DET,CB,-,-,-,,
T350,Micah Abraham,FA,CB,-,-,-,,
T350,Kris Abrams-Draine,DEN,CB,-,-,-,,
T350,Paulson Adebo,NYG,CB,-,-,-,,
T350,Jaire Alexander,FA,CB,-,-,-,,
T350,Dee Alford,BUF,CB,-,-,-,,
T350,Marcus Allen,MIN,CB,-,-,-,,
T350,Trey Amos,WAS,CB,-,-,-,PUP-P,Lower Leg
T350,Prince Amukamara,FA,CB,-,-,-,,
T350,Chigozie Anusiem,LV,CB,-,-,-,,
T350,Eli Apple,FA,CB,-,-,-,,
T350,Jalyn Armour-Davis,FA,CB,-,-,-,Ques,Achilles
T350,Da'Veawn Armstead,MIN,CB,-,-,-,,
T350,Cornell Armstrong,FA,CB,-,-,-,Ques,Hamstring
T350,Damon Arnette,FA,CB,-,-,-,,
T350,Terrion Arnold,FA,CB,-,-,-,,
T350,Alex Austin,MIA,CB,-,-,-,,
T350,Brent Austin,DEN,CB,-,-,-,,
T350,Tre Avery,CLE,CB,-,-,-,,
T350,Chidobe Awuzie,BAL,CB,-,-,-,,
T350,Johnson Bademosi,FA,CB,-,-,-,,
T350,Darrell Baker,MIA,CB,-,-,-,PUP-P,Undisclosed
T350,Johnathan Baldwin,GB,CB,-,-,-,,
T350,Corey Ballentine,JAX,CB,-,-,-,,
T350,Mory Bamba,NYJ,CB,-,-,-,,
T350,Deonte Banks,NYG,CB,-,-,-,,
T350,Jahdae Barron,DEN,CB,-,-,-,,
T350,Shemar Bartholomew,GB,CB,-,-,-,,
T350,Miles Battle,MIA,CB,-,-,-,,
T350,Dalys Beanum,NO,CB,-,-,-,,
T350,Christian Benford,BUF,CB,-,-,-,,
T350,Jakorian Bennett,PHI,CB,-,-,-,,
T350,Jarrick Bernard-Converse,NYG,CB,-,-,-,,
T350,Caleb Biggers,FA,CB,-,-,-,,
T350,Beanie Bishop,FA,CB,-,-,-,Reserve-Sus,Suspension
T350,Korie Black,NYG,CB,-,-,-,,
T350,Mekhi Blackmon,IND,CB,-,-,-,,
T350,Josh Blackwell,CHI,CB,-,-,-,,
T350,DaRon Bland,DAL,CB,-,-,-,,
T350,Isaiah Bolden,FA,CB,-,-,-,,
T350,Ethan Bonner,MIA,CB,-,-,-,,
T350,Andrew Booth,FA,CB,-,-,-,,
T350,Dicaprio Bootle,FA,CB,-,-,-,Ques,Undisclosed
T350,Cedric Boswell,FA,CB,-,-,-,,
T350,Kris Boyd,FA,CB,-,-,-,Ques,Abdomen
T350,Ekow Boye-Doe,FA,CB,-,-,-,,
T350,Devan Boykin,PIT,CB,-,-,-,,
T350,Lance Boykin,FA,CB,-,-,-,,
T350,Christian Braswell,JAX,CB,-,-,-,,
T350,JuJu Brents,MIA,CB,-,-,-,,
T350,Trikweze Bridges,DAL,CB,-,-,-,,
T350,Tyrone Broden,FA,CB,-,-,-,Ques,Undisclosed
T350,Natrone Brooks,ATL,CB,-,-,-,,
T350,Ike Brown,FA,CB,-,-,-,,
T350,Montaric Brown,JAX,CB,-,-,-,,
T350,Tony Brown,FA,CB,-,-,-,,
T350,Tre Brown,NYJ,CB,-,-,-,,
T350,Jarvis Brownlee,NYJ,CB,-,-,-,Ques,Hip
T350,Cobee Bryant,ATL,CB,-,-,-,,
T350,Myles Bryant,CLE,CB,-,-,-,,
T350,Denzel Burke,ARI,CB,-,-,-,,
T350,Artie Burns,FA,CB,-,-,-,Ques,Knee - ACL
T350,Josh Butler,DAL,CB,-,-,-,,
T350,Keydrain Calligan,TEN,CB,-,-,-,,
T350,James Campbell,FA,CB,-,-,-,,
T350,Tyson Campbell,CLE,CB,-,-,-,,
T350,Channing Canada,NE,CB,-,-,-,,
T350,Jadon Canady,KC,CB,-,-,-,,
T350,Brandon Carr,FA,CB,-,-,-,,
T350,Caelen Carson,DAL,CB,-,-,-,,
T350,Ajani Carter,FA,CB,-,-,-,,
T350,Michael Carter,PHI,CB,-,-,-,,
T350,T.J. Carter,FA,CB,-,-,-,,
T350,Tariq Castro-Fields,PHI,CB,-,-,-,,
T350,Tyreek Chappell,MIN,CB,-,-,-,,
T350,Brandon Cisse,GB,CB,-,-,-,,
T350,Jordan Clark,NYJ,CB,-,-,-,,
T350,Kei'Trel Clark,ARI,CB,-,-,-,,
T350,Brandon Codrington,HOU,CB,-,-,-,,
T350,Ryan Cooper,FA,CB,-,-,-,,
T350,Bryce Cosby,FA,CB,-,-,-,,
T350,Te'Cory Couch,BUF,CB,-,-,-,,
T350,Brandon Crossley,NE,CB,-,-,-,,
T350,Elijah Culp,ARI,CB,-,-,-,,
T350,Michael Dansby,SEA,CB,-,-,-,,
T350,Ronald Darby,FA,CB,-,-,-,,
T350,Carlton Davis,NE,CB,-,-,-,Ques,Undisclosed
T350,Cortez Davis,FA,CB,-,-,-,,
T350,Fred Davis,WAS,CB,-,-,-,,
T350,Jaden Davis,ARI,CB,-,-,-,IR,Undisclosed
T350,Jalen Davis,CIN,CB,-,-,-,,
T350,Michael Davis,FA,CB,-,-,-,Ques,Shoulder
T350,Tacario Davis,CIN,CB,-,-,-,,
T350,Jamel Dean,PIT,CB,-,-,-,,
T350,Mansoor Delane,KC,CB,-,-,-,Ques,Shoulder
T350,Charles Demmings,MIN,CB,-,-,-,,
T350,M.J. Devonshire,GB,CB,-,-,-,,
T350,Marcellas Dial,NE,CB,-,-,-,,
T350,Trevon Diggs,FA,CB,-,-,-,,
T350,Thaddeus Dixon,NYG,CB,-,-,-,IR,Achilles
T350,Khalil Dorsey,DET,CB,-,-,-,,
T350,Rasul Douglas,WAS,CB,-,-,-,,
T350,Storm Duck,MIA,CB,-,-,-,PUP-P,Knee
T350,Cobie Durant,DAL,CB,-,-,-,,
T350,Brandin Echols,PIT,CB,-,-,-,,
T350,Johnathan Edwards,IND,CB,-,-,-,,
T350,Wyett Ekeler,FA,CB,-,-,-,,
T350,Kaiir Elam,KC,CB,-,-,-,,
T350,Martin Emerson,NO,CB,-,-,-,,
T350,Akayleb Evans,CAR,CB,-,-,-,,
T350,Darren Evans,FA,CB,-,-,-,,
T350,Daylen Everette,PIT,CB,-,-,-,,
T350,KC Eziomume,CHI,CB,-,-,-,,
T350,Caleb Farley,FA,CB,-,-,-,,
T350,Junior Faulk,FA,CB,-,-,-,,
T350,Cor'Dale Flott,TEN,CB,-,-,-,,
T350,Dallis Flowers,CHI,CB,-,-,-,,
T350,Tre Flowers,FA,CB,-,-,-,,
T350,Emmanuel Forbes,LAR,CB,-,-,-,,
T350,Mike Ford,ATL,CB,-,-,-,,
T350,Tyrell Ford,FA,CB,-,-,-,,
T350,Zah Frazier,FA,CB,-,-,-,,
T350,Andre Fuller,SEA,CB,-,-,-,,
T350,Kendall Fuller,FA,CB,-,-,-,,
T350,Travon Fuller,FA,CB,-,-,-,,
T350,Kristian Fulton,KC,CB,-,-,-,,
T350,Tyrek Funderburk,CAR,CB,-,-,-,,
T350,Don Gardner,FA,CB,-,-,-,,
T350,Sauce Gardner,IND,CB,-,-,-,Ques,Calf
T350,Mekhi Garner,FA,CB,-,-,-,,
T350,Eric Garror,FA,CB,-,-,-,,
T350,Allan George,FA,CB,-,-,-,,
T350,Kenneth George,FA,CB,-,-,-,,
T350,Zyon Gilbert,FA,CB,-,-,-,,
T350,Steven Gilmore,FA,CB,-,-,-,,
T350,Christian Gonzalez,NE,CB,-,-,-,,
T350,Mario Goodrich,TEN,CB,-,-,-,,
T350,Kyler Gordon,CHI,CB,-,-,-,PUP-P,Calf
T350,Thomas Graham,FA,CB,-,-,-,,
T350,Nick Grant,FA,CB,-,-,-,,
T350,A.J. Green,MIA,CB,-,-,-,,
T350,Art Green,NYG,CB,-,-,-,,
T350,Renardo Green,SF,CB,-,-,-,,
T350,Shaquill Griffin,FA,CB,-,-,-,,
T350,Jaylon Guilbeau,FA,CB,-,-,-,Ques,Undisclosed
T350,Kamal Hadden,GB,CB,-,-,-,,
T350,Devin Hafford,FA,CB,-,-,-,,
T350,Maxwell Hairston,BUF,CB,-,-,-,,
T350,Bryce Hall,FA,CB,-,-,-,,
T350,Darren Hall,ATL,CB,-,-,-,,
T350,Kemon Hall,TB,CB,-,-,-,,
T350,Stephen Hall,HOU,CB,-,-,-,,
T350,TJ Hall,NO,CB,-,-,-,,
T350,Tyler Hall,FA,CB,-,-,-,,
T350,Al'zillion Hamilton,LAR,CB,-,-,-,PUP-P,Undisclosed
T350,Antonio Hamilton,WAS,CB,-,-,-,,
T350,Elijah Hamilton,FA,CB,-,-,-,,
T350,Matt Hankins,FA,CB,-,-,-,,
T350,Justin Hardee,FA,CB,-,-,-,Ques,Undisclosed
T350,Myles Harden,CLE,CB,-,-,-,,
T350,Daequan Hardy,PIT,CB,-,-,-,IR,Undisclosed
T350,Marcus Harris,TEN,CB,-,-,-,,
T350,Cam Hart,LAC,CB,-,-,-,,
T350,Ahmari Harvey,PIT,CB,-,-,-,,
T350,Tre Hawkins,WAS,CB,-,-,-,IR,Undisclosed
T350,Josh Hayes,TB,CB,-,-,-,,
T350,Amari Henderson,FA,CB,-,-,-,,
T350,C.J. Henderson,ATL,CB,-,-,-,,
T350,Tre Herndon,FA,CB,-,-,-,,
T350,Tyron Herring,CLE,CB,-,-,-,,
T350,Faion Hicks,FA,CB,-,-,-,,
T350,Dax Hill,CIN,CB,-,-,-,,
T350,Nijuel Hill,FA,CB,-,-,-,,
T350,Troy Hill,FA,CB,-,-,-,,
T350,Mike Hilton,FA,CB,-,-,-,Ques,Shoulder
T350,Nate Hobbs,SF,CB,-,-,-,,
T350,Preston Hodge,JAX,CB,-,-,-,,
T350,Ka'dar Hollman,FA,CB,-,-,-,,
T350,Darnay Holmes,ATL,CB,-,-,-,,
T350,Colton Hood,NYG,CB,-,-,-,,
T350,Delonte Hood,FA,CB,-,-,-,,
T350,Jaycee Horn,CAR,CB,-,-,-,,
T350,Xavien Howard,FA,CB,-,-,-,,
T350,Mike Hughes,ATL,CB,-,-,-,,
T350,Marlon Humphrey,BAL,CB,-,-,-,,
T350,Alijah Huzzie,HOU,CB,-,-,-,,
T350,Noah Igbinoghene,SEA,CB,-,-,-,,
T350,Davison Igbinosun,BUF,CB,-,-,-,,
T350,Ja'Marcus Ingram,HOU,CB,-,-,-,,
T350,Keenan Isaac,FA,CB,-,-,-,,
T350,DJ Ivey,CIN,CB,-,-,-,,
T350,Adoree' Jackson,FA,CB,-,-,-,,
T350,Dane Jackson,JAX,CB,-,-,-,Reserve-Ret,Personal
T350,Domani Jackson,GB,CB,-,-,-,,
T350,Donte Jackson,LAC,CB,-,-,-,,
T350,Lamar Jackson,FA,CB,-,-,-,,
T350,Mike Jackson,CAR,CB,-,-,-,,
T350,DJ James,FA,CB,-,-,-,,
T350,D'Shawn Jamison,PIT,CB,-,-,-,,
T350,Shemar Jean-Charles,SEA,CB,-,-,-,,
T350,Josh Jobe,SEA,CB,-,-,-,,
T350,Alex Johnson,LAR,CB,-,-,-,,
T350,Brandon Johnson,SEA,CB,-,-,-,,
T350,Chris Johnson,MIA,CB,-,-,-,,
T350,Isaiah Johnson,FA,CB,-,-,-,Ques,Knee - ACL
T350,Jaylon Johnson,CHI,CB,-,-,-,,
T350,Leonard Johnson,FA,CB,-,-,-,,
T350,Nazeeh Johnson,TEN,CB,-,-,-,,
T350,Taron Johnson,LV,CB,-,-,-,,
T350,Will Johnson,ARI,CB,-,-,-,,
T350,Shaun Jolly,FA,CB,-,-,-,,
T350,Chris Jones,FA,CB,-,-,-,,
T350,DaShawn Jones,FA,CB,-,-,-,,
T350,Devin Jones,FA,CB,-,-,-,,
T350,Dom Jones,FA,CB,-,-,-,Ques,Knee
T350,Elijah Jones,FA,CB,-,-,-,,
T350,Elijah Jones,ARI,CB,-,-,-,,
T350,Jack Jones,SF,CB,-,-,-,,
T350,Jarrian Jones,JAX,CB,-,-,-,,
T350,Jaylon Jones,CHI,CB,-,-,-,,
T350,Jaylon Jones,IND,CB,-,-,-,,
T350,Jonathan Jones,PHI,CB,-,-,-,,
T350,Marcus Jones,NE,CB,-,-,-,,
T350,Marlon Jones,GB,CB,-,-,-,,
T350,Nic Jones,NYG,CB,-,-,-,,
T350,Kelvin Joseph,FA,CB,-,-,-,,
T350,Kyu Blu Kelly,FA,CB,-,-,-,Ques,Knee
T350,Anthony Kendall,CLE,CB,-,-,-,Ques,Undisclosed
T350,Derion Kendrick,DAL,CB,-,-,-,,
T350,Donte Kent,PIT,CB,-,-,-,PUP-P,Undisclosed
T350,Jalen Kimber,CIN,CB,-,-,-,,
T350,Desmond King,FA,CB,-,-,-,,
T350,Kalen King,ARI,CB,-,-,-,,
T350,Kevin King,FA,CB,-,-,-,Ques,Undisclosed
T350,Luther Kirk,FA,CB,-,-,-,,
T350,Kader Kohou,KC,CB,-,-,-,,
T350,Bilhal Kone,BAL,CB,-,-,-,,
T350,Chris Lammons,FA,CB,-,-,-,Ques,Foot
T350,Cam Lampkin,LAR,CB,-,-,-,,
T350,Kamari Lassiter,HOU,CB,-,-,-,,
T350,Marshon Lattimore,FA,CB,-,-,-,Ques,Knee - ACL
T350,Des Lawrence,FA,CB,-,-,-,,
T350,Will Lee,CAR,CB,-,-,-,,
T350,Deommodore Lenoir,SF,CB,-,-,-,,
T350,Deane Leonard,LAC,CB,-,-,-,,
T350,Cam Lewis,CHI,CB,-,-,-,,
T350,Jourdan Lewis,JAX,CB,-,-,-,,
T350,David Long,FA,CB,-,-,-,,
T350,Robert Longerbeam,BAL,CB,-,-,-,,
T350,Keni-H Lovely,JAX,CB,-,-,-,,
T350,Duron Lowe,FA,CB,-,-,-,,
T350,Chase Lucas,TB,CB,-,-,-,PUP-P,Undisclosed
T350,Jeadyn Lukus,FA,CB,-,-,-,,
T350,Darrell Luter,SF,CB,-,-,-,,
T350,Bralyn Lux,CIN,CB,-,-,-,,
T350,Avonte Maddox,DET,CB,-,-,-,,
T350,Jason Maitre,FA,CB,-,-,-,Ques,Undisclosed
T350,Dontae Manning,CHI,CB,-,-,-,,
T350,Paul Manning,FA,CB,-,-,-,Ques,Undisclosed
T350,Devon Marshall,JAX,CB,-,-,-,,
T350,Jason Marshall,MIA,CB,-,-,-,,
T350,Keyon Martin,BAL,CB,-,-,-,,
T350,Hezekiah Masses,LV,CB,-,-,-,,
T350,Damarri Mathis,CLE,CB,-,-,-,,
T350,Arthur Maulet,FA,CB,-,-,-,,
T350,Mac McCain,FA,CB,-,-,-,,
T350,Jeremiah McClendon,FA,CB,-,-,-,,
T350,Nick McCloud,FA,CB,-,-,-,Ques,Groin
T350,Zyon McCollum,TB,CB,-,-,-,,
T350,Jermod McCoy,LV,CB,-,-,-,Ques,Knee
T350,Roger McCreary,DET,CB,-,-,-,,
T350,Deshawn McCuin,FA,CB,-,-,-,,
T350,Latrell McCutchin,FA,CB,-,-,-,Ques,Undisclosed
T350,Matthew McDoom,BAL,CB,-,-,-,,
T350,Trent McDuffie,LAR,CB,-,-,-,,
T350,Dwight McGlothern,MIN,CB,-,-,-,Ques,Hip
T350,Kool-Aid McKinstry,NO,CB,-,-,-,,
T350,Kyler McMichael,FA,CB,-,-,-,,
T350,Ja'Quan McMillian,DEN,CB,-,-,-,,
T350,Jalen McMurray,TEN,CB,-,-,-,,
T350,Mac McWilliams,PHI,CB,-,-,-,,
T350,Max Melton,ARI,CB,-,-,-,,
T350,Cam Miller,CAR,CB,-,-,-,,
T350,D.J. Miller,BUF,CB,-,-,-,,
T350,Kobee Minor,NE,CB,-,-,-,,
T350,Cameron Mitchell,FA,CB,-,-,-,Ques,Undisclosed
T350,Quinyon Mitchell,PHI,CB,-,-,-,,
T350,Devin Moore,DAL,CB,-,-,-,,
T350,Kenny Moore,FA,CB,-,-,-,,
T350,T.J. Moore,FA,CB,-,-,-,,
T350,Fabian Moreau,WAS,CB,-,-,-,,
T350,Benjamin Morrison,TB,CB,-,-,-,,
T350,Malkelm Morrison,FA,CB,-,-,-,,
T350,Emmanuel Moseley,FA,CB,-,-,-,Ques,Illness
T350,Quandre Mosely,FA,CB,-,-,-,,
T350,Riley Moss,DEN,CB,-,-,-,,
T350,Jabbar Muhammad,JAX,CB,-,-,-,,
T350,Malik Muhammad,CHI,CB,-,-,-,,
