,,,,Redraft,,,Dynasty,AAV,,Health Report,
Rank,Name,Team,Pos,Fantrax,Sleeper,MFL,Sleeper,MFL,Ottoneu,Status,Injury
T285,Donaven McCulley,MIA,WR,-,-,-,-,,,,
T285,Lance McCutcheon,TEN,WR,-,-,-,-,,,,
T285,Ryan McDaniel,FA,WR,-,-,-,-,,,,
T285,Alex McGough,FA,WR,-,-,-,-,,,,
T285,Kyric McGowan,FA,WR,-,-,-,-,,,,
T285,Isaiah McKenzie,FA,WR,-,-,-,-,,,,
T285,Anthony Miller,FA,WR,-,-,-,-,,,,
T285,Dorren Miller,FA,WR,-,-,-,-,,,,
T285,Dre Miller,FA,WR,-,-,-,-,,,,
T285,Ryan Miller,NYG,WR,-,-,-,-,,,,
T285,Scotty Miller,CHI,WR,-,-,-,-,,,,
T285,Denzel Mims,DAL,WR,-,-,-,-,,,,
257,Marvin Mims,DEN,WR,317.65,-,-,271.80,,9.88,,
T285,Jonathan Mingo,DAL,WR,-,-,-,-,,5.00,,
202,Adonai Mitchell,NYJ,WR,232.90,-,-,199.30,,6.72,,
T285,Steven Mitchell,FA,WR,-,-,-,-,,,,
T285,D.J. Montgomery,FA,WR,-,-,-,-,,,,
T285,Tyren Montgomery,TEN,WR,-,-,-,427.50,,,,
T285,Chris Moore,BAL,WR,-,-,-,-,,,,
T285,David Moore,CAR,WR,-,-,-,-,,,,
T285,John Metchie,CAR,WR,-,-,-,435.50,,5.50,,
T285,Dohnte Meyers,CIN,WR,-,-,-,-,,,,
T285,Bub Means,NO,WR,-,-,-,-,,,,
T285,Malick Meiga,CAR,WR,-,-,-,-,,,,
T285,Tommy Mellott,FA,WR,-,-,-,-,,,,
T285,Bo Melton,GB,WR,-,-,-,-,,,,
T285,Elijah Moore,PHI,WR,-,-,-,-,,9.00,,
T285,Jason Moore,FA,WR,-,-,-,-,,,,
T285,Jordan Moore,CIN,WR,-,-,-,-,,,,
T285,Skyy Moore,GB,WR,-,-,-,-,,,,
T285,Jalen Moreno-Cropper,NO,WR,-,-,-,-,,,,
T285,Taylor Morin,FA,WR,-,-,-,-,,,,
T285,Mante' Morrow,LAC,WR,-,-,-,-,,,,
T285,Moose Muhammad,FA,WR,-,-,-,-,,,,
T285,Konata Mumpfield,LAR,WR,-,-,-,395.20,,5.00,,
T285,Randall Cobb,FA,WR,-,-,-,-,,,,
T285,TreVontae Hights,FA,WR,-,-,-,-,,,,
T285,Van Jefferson,WAS,WR,-,-,-,-,,17.00,,
T285,Jaray Jenkins,FA,WR,-,-,-,-,,,,
T285,Jaylin Lane,WAS,WR,-,-,-,-,,5.00,,
T285,Gage Larvadain,CLE,WR,-,-,-,-,,,,
T285,Kwamie Lassiter,FA,WR,-,-,-,-,,,,
T285,Kendrick Law,DET,WR,-,-,-,-,,,IR,Knee - ACL
T285,Allen Lazard,FA,WR,-,-,-,-,,5.00,,
T285,Shane Leatherbury,FA,WR,-,-,-,-,,,,
272,Xavier Legette,CAR,WR,324.13,-,-,266.40,,10.00,,
T285,Montana Lemonious-Craig,FA,WR,-,-,-,-,,,Ques,Lower Body
T285,Landon Lenoir,FA,WR,-,-,-,-,,,,
T285,Brandon Lewis,FA,WR,-,-,-,-,,,,
T285,Talolo Limu-Jones,FA,WR,-,-,-,-,,,,
T285,Henry Litwin,FA,WR,-,-,-,-,,,,
T285,Johnathan Lloyd,FA,WR,-,-,-,-,,,,
T285,Tyler Lockett,FA,WR,-,-,-,-,,33.00,,
T285,Justin Lockhart,FA,WR,-,-,-,-,,,,
T285,Kai Locksley,FA,WR,-,-,-,-,,,,
T285,Dominic Lovett,DET,WR,-,-,-,-,,,,
T285,Xavier Loyd,KC,WR,-,-,-,-,,,,
T285,Taysir Mack,FA,WR,-,-,-,-,,,,
T285,Ja'Mori Maclin,BUF,WR,-,-,-,-,,,,
T285,Joseph Manjack,DEN,WR,-,-,-,-,,,,
T285,Zimari Manning,FA,WR,-,-,-,-,,,,
T285,Keelan Marion,ATL,WR,-,-,-,421.00,,,,
T285,Gabe Marks,FA,WR,-,-,-,-,,,,
T285,Terrace Marshall,MIA,WR,-,-,-,-,,,,
T285,Tay Martin,DET,WR,-,-,-,-,,,,
T285,Tyreik McAllister,FA,WR,-,-,-,-,,,,
T285,Luke McCaffrey,WAS,WR,-,-,-,-,1.40,5.00,,
T285,Malik McClain,NYJ,WR,-,-,-,-,,,,
T285,Ray-Ray McCloud,FA,WR,-,-,-,-,,,,
T285,Max Hurleman,PIT,WR,-,-,-,-,,,,
227,Ted Hurst,TB,WR,273.85,-,33.55,197.50,5.89,2.00,,
270,Xavier Hutchinson,HOU,WR,323.61,-,-,-,0.78,,,
T285,Jalin Hyatt,NYG,WR,-,-,-,-,,,,
T285,Josh Imatorbhebhe,FA,WR,-,-,-,-,,,,
266,Andrei Iosivas,CIN,WR,322.89,-,-,368.50,1.02,9.00,,
T285,Trenton Irwin,SF,WR,-,-,-,-,,,,
T285,Andy Isabella,FA,WR,-,-,-,-,,,Ques,Ankle
T285,Calvin Jackson,FA,WR,-,-,-,-,,,,
T285,Courtney Jackson,TEN,WR,-,-,-,-,,,,
T285,JaQuae Jackson,LAC,WR,-,-,-,-,,,,
T285,Jermaine Jackson,FA,WR,-,-,-,-,,,,
T285,Jha'Quan Jackson,HOU,WR,-,-,-,-,,,,
T285,Kearis Jackson,FA,WR,-,-,-,-,,,,
T285,Lucky Jackson,DET,WR,-,-,-,-,,,,
T285,Shedrick Jackson,LV,WR,-,-,-,-,,,,
T285,Trishton Jackson,FA,WR,-,-,-,-,,,,
T285,Sam James,FA,WR,-,-,-,-,,,,
T285,Tyshaun James,FA,WR,-,-,-,-,,,,
T285,Jaxon Janke,FA,WR,-,-,-,-,,,,
T285,Rakim Jarrett,FA,WR,-,-,-,-,,,,
T285,Damion Jeanpiere,FA,WR,-,-,-,-,,,,
T285,Chris Hilton,WAS,WR,-,-,-,-,,,,
T285,T.Y. Hilton,FA,WR,-,-,-,-,,,,
T285,Kendall Hinton,FA,WR,-,-,-,-,,,,
T285,Changa Hodge,FA,WR,-,-,-,-,,,,
T285,KhaDarel Hodge,FA,WR,-,-,-,-,,,,
T285,Isaiah Hodgins,NYG,WR,-,-,-,-,,,,
T285,Traeshon Holden,DAL,WR,-,-,-,-,,,,
T285,Cyrus Holder,FA,WR,-,-,-,-,,,,
T285,Jimmy Holiday,KC,WR,-,-,-,-,,,,
T285,Alexander Hollins,FA,WR,-,-,-,-,,,,
259,Mack Hollins,NE,WR,318.09,-,-,428.50,1.08,5.00,,
T285,DeAndre Hopkins,FA,WR,-,-,-,-,,8.25,,
T285,Jimmy Horn,CAR,WR,-,-,-,-,,,,
246,Tory Horton,SEA,WR,306.25,-,-,213.30,,6.92,,
T285,Dennis Houston,TB,WR,-,-,-,-,,,,
T285,Alton Howard,FA,WR,-,-,-,-,,,,
T285,Jordan Hudson,DAL,WR,-,-,-,-,,,,
T285,Kyron Hudson,CHI,WR,-,-,-,-,,,,
T285,Lil'Jordan Humphrey,DEN,WR,-,-,-,-,,,,
188,Jerry Jeudy,CLE,WR,213.37,-,-,181.20,4.54,15.33,,
T285,John Jiles,FA,WR,-,-,-,-,,,Ques,Undisclosed
T285,Brandon Johnson,LV,WR,-,-,-,-,,,,
T285,Collin Johnson,FA,WR,-,-,-,-,,,,
T285,Cornelius Johnson,BAL,WR,-,-,-,-,,,,
T285,Diontae Johnson,FA,WR,-,-,-,-,,2.00,,
T285,Jamel Johnson,FA,WR,-,-,-,-,,,,
T285,Jaylen Johnson,FA,WR,-,-,-,-,,,,
T285,Johnny Johnson,FA,WR,-,-,-,-,,,,
T285,Kameron Johnson,TB,WR,-,-,-,-,,,,
T285,KeeSean Johnson,FA,WR,-,-,-,-,,,,
T285,Marcus Johnson,FA,WR,-,-,-,-,,,,
264,Tez Johnson,TB,WR,320.92,-,-,311.20,,6.20,,
T285,Tyler Johnson,DAL,WR,-,-,-,-,,,,
T285,Willie Johnson,FA,WR,-,-,-,-,,,,
T285,Xavier Johnson,CIN,WR,-,-,-,-,,,,
T285,Charlie Jones,CIN,WR,-,-,-,-,,,,
T285,J.J. Jones,FA,WR,-,-,-,-,,,,
T285,Jacoby Jones,WAS,WR,-,-,-,-,,,,
T285,Jeshaun Jones,MIN,WR,-,-,-,-,,,,
T285,Julio Jones,FA,WR,-,-,-,-,,,,
T285,Marvin Jones,FA,WR,-,-,-,-,,,,
T285,Tim Jones,JAX,WR,-,-,-,-,,,,
T285,Zay Jones,FA,WR,-,-,-,-,,18.00,,
T285,Lamar Jordan,FA,WR,-,-,-,-,,,,
T285,Kevin Kassis,FA,WR,-,-,-,-,,,,
T285,Kolbe Katsis,DEN,WR,-,-,-,-,,,,
T285,Jakobie Keeney-James,FA,WR,-,-,-,-,,,,
T285,Josh Kelly,HOU,WR,-,-,-,-,,,,
T285,Tom Kennedy,DET,WR,-,-,-,-,,,,
